date,open,close,high,low,volume,code
2015-09-02,128.5,125.85,131.9,125.58,26885.0,110030
2015-09-07,128.0,127.17,130.8,126.28,17749.0,110030
2015-09-08,127.5,131.23,131.3,127.32,21842.0,110030
2015-09-09,132.44,134.79,136.16,131.5,32893.0,110030
2015-09-10,133.0,128.67,135.2,127.85,24706.0,110030
2015-09-11,129.83,129.15,130.7,128.5,24122.0,110030
2015-09-14,130.15,125.64,130.8,124.58,16380.0,110030
2015-09-15,125.15,124.79,126.67,124.55,13408.0,110030
2015-09-16,125.35,130.14,130.5,124.7,26570.0,110030
2015-09-17,130.1,128.24,132.1,128.2,27711.0,110030
2015-09-18,129.01,129.36,130.38,128.6,15073.0,110030
2015-09-21,129.36,133.1,133.5,128.8,17148.0,110030
2015-09-22,133.49,136.08,136.39,133.0,19971.0,110030
2015-09-23,135.05,132.01,135.85,131.8,10534.0,110030
2015-09-24,132.7,132.39,133.71,131.95,10159.0,110030
2015-09-25,132.02,131.45,132.99,130.5,7535.0,110030
2015-09-28,132.2,131.87,132.22,130.87,4841.0,110030
2015-09-29,130.5,130.4,131.45,129.6,4200.0,110030
2015-09-30,130.99,130.52,131.2,130.21,3360.0,110030
2015-10-08,134.8,133.07,134.98,132.83,18091.0,110030
2015-10-09,133.0,134.47,134.69,132.98,17429.0,110030
2015-10-12,135.45,144.68,152.0,135.45,40144.0,110030
2015-10-13,144.5,149.23,150.95,144.35,49757.0,110030
2015-10-14,149.0,148.26,151.9,148.1,35236.0,110030
2015-10-15,149.01,153.91,154.5,149.01,31921.0,110030
2015-10-16,159.0,158.43,159.7,154.16,41508.0,110030
2015-10-19,159.19,156.88,160.25,156.7,29483.0,110030
2015-10-20,157.55,159.73,160.5,157.05,23120.0,110030
2015-10-21,159.72,154.08,159.72,153.5,24085.0,110030
2015-10-22,154.21,158.21,158.45,154.21,23462.0,110030
2015-10-23,159.41,161.26,161.41,158.96,28732.0,110030
2015-10-26,164.5,158.52,164.8,156.54,23582.0,110030
2015-10-27,157.98,159.26,159.7,150.79,37132.0,110030
2015-10-28,158.9,156.42,159.25,155.63,28236.0,110030
2015-10-29,158.0,156.15,158.2,155.77,23006.0,110030
2015-10-30,156.0,157.4,158.19,154.95,16666.0,110030
2015-11-02,157.39,151.09,158.55,150.68,22332.0,110030
2015-11-03,151.21,152.36,152.65,150.68,17293.0,110030
2015-11-04,152.9,161.79,162.0,152.52,28695.0,110030
2015-11-05,161.85,160.87,174.5,159.12,40879.0,110030
2015-11-06,161.95,167.34,167.6,160.81,33889.0,110030
2015-11-09,168.02,162.19,171.0,161.2,39666.0,110030
2015-11-10,162.1,161.93,163.47,160.55,24975.0,110030
2015-11-11,162.55,163.1,165.5,161.45,28069.0,110030
2015-11-12,164.45,161.45,164.45,160.03,18229.0,110030
2015-11-13,160.56,156.3,160.99,155.03,17787.0,110030
2015-11-16,154.0,154.87,156.6,152.11,23040.0,110030
2015-11-17,156.11,147.66,156.88,147.39,30751.0,110030
2015-11-18,149.0,144.22,149.0,141.12,50732.0,110030
2015-11-19,144.54,149.71,149.98,143.22,25206.0,110030
2015-11-20,149.31,150.51,151.69,147.53,23583.0,110030
2015-11-23,150.7,150.36,151.2,149.07,8880.0,110030
2015-11-24,150.44,149.83,150.71,147.16,9579.0,110030
2015-11-25,149.63,148.3,149.76,147.79,10449.0,110030
2015-11-26,148.6,147.32,149.19,147.22,9647.0,110030
2015-11-27,147.0,144.44,147.0,143.51,5437.0,110030
2015-11-30,144.87,145.31,145.92,143.66,8315.0,110030
2015-12-01,145.3,149.89,152.83,144.87,21715.0,110030
2015-12-02,150.0,151.19,153.7,148.5,24725.0,110030
2015-12-03,151.09,151.64,153.5,150.7,14844.0,110030
2015-12-04,151.54,149.96,152.2,149.8,9532.0,110030
2015-12-07,149.86,147.68,150.98,147.09,6884.0,110030
2015-12-08,147.44,146.06,147.7,145.6,5686.0,110030
2015-12-09,146.17,145.9,146.73,145.51,59649.0,110030
2015-12-10,145.89,145.04,146.9,145.0,37910.0,110030
2015-12-11,145.15,144.03,145.29,143.6,30406.0,110030
2015-12-14,143.71,144.07,145.0,143.59,35482.0,110030
2015-12-15,144.2,144.48,145.9,144.18,31201.0,110030
2015-12-16,144.55,144.26,145.45,143.9,15456.0,110030
2015-12-17,144.32,146.13,148.18,144.32,97004.0,110030
2015-12-18,146.35,144.39,146.55,144.08,37062.0,110030
2015-12-21,144.23,146.84,147.25,144.02,62954.0,110030
2015-12-22,146.94,147.08,147.3,146.6,19165.0,110030
2015-12-23,147.2,146.65,147.88,146.22,28494.0,110030
2015-12-24,146.52,144.94,146.81,144.3,20317.0,110030
2015-12-25,144.34,144.67,145.3,144.34,12406.0,110030
2015-12-28,144.35,144.39,144.8,144.34,9950.0,110030
2015-12-29,144.7,142.59,144.9,142.4,19958.0,110030
2015-12-30,142.22,140.16,142.8,140.03,40975.0,110030
2015-12-31,140.25,137.99,140.57,137.3,30473.0,110030
2016-01-04,138.68,134.0,138.97,131.2,7060.0,110030
2016-01-05,132.33,132.13,133.4,131.01,45482.0,110030
2016-01-06,132.57,133.17,133.47,132.57,15105.0,110030
2016-01-07,132.91,129.64,133.07,129.14,1304.0,110030
2016-01-08,130.99,129.61,133.0,126.68,23789.0,110030
2016-01-11,130.0,127.48,130.0,127.2,22221.0,110030
2016-01-12,127.12,129.35,129.88,127.12,25251.0,110030
2016-01-13,129.8,128.64,130.48,128.25,8216.0,110030
2016-01-14,126.0,133.16,133.7,126.0,42889.0,110030
2016-01-15,133.15,130.44,133.16,129.8,17541.0,110030
2016-01-18,129.99,126.36,131.46,126.01,38348.0,110030
2016-01-19,126.3,120.63,126.5,116.11,122989.0,110030
2016-01-20,120.43,118.27,120.63,118.02,29579.0,110030
2016-01-21,117.5,117.58,120.0,117.0,25291.0,110030
2016-01-22,119.8,117.98,120.02,116.8,39134.0,110030
2016-01-25,118.53,120.57,121.85,118.0,42892.0,110030
2016-01-26,121.3,116.89,122.45,116.62,46368.0,110030
2016-01-27,117.51,118.45,119.89,115.6,49838.0,110030
2016-01-28,118.3,118.53,120.48,117.9,62418.0,110030
2016-01-29,119.98,122.68,123.0,119.0,38811.0,110030
2016-02-01,123.0,123.33,124.4,122.68,29545.0,110030
2016-02-02,123.87,124.89,125.52,123.42,44370.0,110030
2016-02-03,125.6,125.55,126.87,124.9,67941.0,110030
2016-02-04,126.0,125.15,126.48,125.04,17081.0,110030
2016-02-05,125.16,123.9,125.86,123.6,12790.0,110030
2016-02-15,124.3,123.8,124.3,122.01,5693.0,110030
2016-02-16,123.82,127.72,127.85,123.82,56311.0,110030
2016-02-17,127.78,129.22,129.5,127.72,19640.0,110030
2016-02-18,129.69,131.57,133.96,129.5,28408.0,110030
2016-02-19,131.61,130.22,132.99,129.5,14311.0,110030
2016-02-22,132.87,133.28,133.88,132.11,39056.0,110030
2016-02-23,133.5,129.51,133.5,129.2,13846.0,110030
2016-02-24,129.31,127.46,130.27,126.35,11102.0,110030
2016-02-25,127.33,124.05,127.38,124.0,9544.0,110030
2016-02-26,125.0,120.82,125.0,120.8,44648.0,110030
2016-02-29,121.8,121.28,121.8,119.01,19462.0,110030
2016-03-01,121.9,121.56,124.5,120.63,56842.0,110030
2016-03-02,121.88,127.62,129.61,121.6,146142.0,110030
2016-03-03,128.4,126.87,134.6,126.7,211635.0,110030
2016-03-04,127.06,126.94,129.42,125.8,101469.0,110030
2016-03-07,127.5,128.83,131.11,127.38,51569.0,110030
2016-03-08,129.8,127.7,129.8,126.38,51984.0,110030
